id,user_id,session_id,source_photo_file_id,user_input,generated_prompt,result_storage_path,sticker_set_name,created_at,telegram_file_id,is_example,style_preset_id,env,idea_source
00047679-cc10-4d8a-86ef-c4df39ea1a7f,f14fbc1d-2a17-4392-825b-9dbf18c6ff9d,819b267e-2edf-4118-88e1-813be6076595,AgACAgIAAxkBAAIKrWmE781sT7Qd9cUMj1LFqv-lYCaZAAK1DmsbEGsoSOr9ROSHevooAQADAgADeAADOAQ,"tv cartoon style, simplified shapes, flat colors, limited shading, clean outlines","Add angry, frowning, irritated expression expression to this sticker character",stickers/f14fbc1d-2a17-4392-825b-9dbf18c6ff9d/819b267e-2edf-4118-88e1-813be6076595/1770319899383.webp,p2s_7724902761_by_photo_2_stickerbot,2026-02-05 19:31:39.406692+00,CAACAgIAAxkDAAIKtWmE8BtTn33EncAGrwTe2rR7K0IAA7aWAAKz6ylI4Ep1Ovdolpc4BA,false,chibi,prod,
00d8f41e-6f52-4779-ba2e-9906a5aa6b4b,d8c2fef0-19e6-47e1-9dac-0d31c03c919f,6bacb922-eed0-4ef0-b889-5c6baac5b355,AgACAgIAAxkBAAI6X2mNrgbHxT5PCBCzFFRbMapoKSxJAALEF2sbErtpSEy2PCyAJ-T4AQADAgADeQADOgQ,"[assistant] style: Адольф Гитлер, emotion: Гнев, pose: Зига","Create a high-quality messenger sticker of the person from the photo.

Style: Адольф Гитлер
Emotion: Гнев
Pose/gesture: Зига

Subject: Analyze the provided photo carefully:
- If there is ONE person — extract that person.
- If there are MULTIPLE people — extract ALL of them together, preserving their relative positions and interactions.
- If a person is interacting with a significant object (vehicle, bicycle, musical instrument, pet, sports equipment, furniture they sit/lean on) — include that object as part of the sticker.
- Remove ONLY irrelevant background (walls, sky, floor, landscape, generic surroundings).
Preserve recognizable facial features, proportions, and overall likeness for every person. Adapt proportions to match the style while keeping facial identity.
Composition: Characters and objects occupy maximum canvas area with clear silhouette.
Outline: Bold uniform border around the entire composition (approx 25–35% outline width), smooth and consistent.
Visual design: High contrast, strong edge separation, color palette consistent with the selected style.
Requirements: No watermark, no logo, no frame, no text unless the style specifically requires it.
Quality: Expressive, visually appealing, optimized for clean automated background removal and messenger sticker use.
CRITICAL REQUIREMENT: The background MUST be a solid uniform bright green color (#00FF00). Do NOT use any other background color regardless of the style. This is essential for automated background removal. The ENTIRE area behind the character(s) must be filled with exactly #00FF00 green — no gradients, no style-specific backgrounds, no dark colors.",stickers/d8c2fef0-19e6-47e1-9dac-0d31c03c919f/6bacb922-eed0-4ef0-b889-5c6baac5b355/1770892871313.webp,,2026-02-12 10:41:16.486224+00,CAACAgIAAxkDAAI6bWmNrkwjC3NlmxSW41zU_Nqa_0mjAAIXlgACwwhwSPQaRtZwdWFNOgQ,false,assistant,prod,
0153dbed-e0ba-4c51-ab3f-695693494f77,e73e1939-1a9d-4059-bf80-8504de026229,6f930918-a598-4e26-9a48-9611a495436d,AgACAgIAAxkBAAIfR2mHoz_k41yE9FAfBp46VWEtAcy8AALnDWsbawhASBrJa13Ft4y7AQADAgADeQADOgQ,"Reaction meme face, extremely over-the-top expression, screenshot aesthetic, viral meme energy","Create a high-contrast messenger sticker.
Emotion: sad, teary eyes, melancholic — show this emotion clearly on the character's face and body language.
Character: ISOLATE and extract ONLY the main subject (person, animal, character) from the photo. Ignore all background elements, furniture, surroundings, and environmental context. Preserve recognizable facial features, style, and colors.
Composition: Character occupies maximum canvas area, clear silhouette, bold uniform border around the character (thick, approx 25–35% outline width), smooth and consistent outline.
Visual design: High contrast, strong edge separation, simplified shapes, no soft edges.
Requirements: Solid black background, no watermark, no logo, no frame.
Quality: Optimized for clean background removal and messenger sticker use.",stickers/e73e1939-1a9d-4059-bf80-8504de026229/6f930918-a598-4e26-9a48-9611a495436d/1770496894354.webp,p2s_6704791796_by_photo_2_stickerbot,2026-02-07 20:41:34.372619+00,CAACAgIAAxkDAAIfUGmHo371ejMRp2CLgshFgOzeJFBjAAJwjQACphBBSGT-O3vvw06_OgQ,false,meme_reaction,prod,
0159460e-e875-4d48-9118-c066d1049eb7,8538d8af-5c45-4fef-9ada-b14574448b3b,87b80d5c-122c-497e-a756-3dcc710496a6,AgACAgIAAxkBAAICF2mCELl8UpyWz6_I_yzEy1-fhNYaAAIXE2sblVoQSMnkjmfluaj1AQADAgADeQADOAQ,"pixel art style, retro game aesthetic, 8-bit","Create a high-quality messenger sticker. Style: pixel art, retro 8-bit game aesthetic. Character: Use the character from the provided photo as the base. Preserve recognizable facial features, proportions, and overall likeness. Concept: a classic pixel art pose. Composition: Character occupies maximum canvas area, bold white border around the character (approx 35% outline width), smooth and uniform border. Visual design: Clean bold white sticker outline, high contrast, blocky pixelated shapes, limited color palette typical of 8-bit games. Requirements: black background, no watermark, no logo, no frame, no text. Quality: Expressive, visually appealing, optimized for messenger sticker.",stickers/8538d8af-5c45-4fef-9ada-b14574448b3b/87b80d5c-122c-497e-a756-3dcc710496a6/1770135409640.webp,p2s_42269230_by_sticq_bot,2026-02-03 16:17:23.887799+00,CAACAgIAAxkDAAICT2mCH5Nd-5aePcLu2M3g5UdmbKa2AALjigAClVoQSNG7ZxLguidpOAQ,false,,prod,
01903517-b29d-4191-94b6-dfb8c3dd7314,80087b5b-723f-4be0-b60e-46bda8f291bd,bbf6c4cd-da1e-482e-8b95-7ca31972d089,AgACAgIAAxkBAAIv_2mKH90C_FRvZJMr0gym_BI__T2jAALPEWsbPe9YSPO8WEQpGsEyAQADAgADeQADOgQ,"Russian 90s aesthetic, VHS quality, grainy texture, post-Soviet style, tracksuit gopnik vibe, nostalgic faded colors","Create a high-quality messenger sticker. Style: Russian 90s aesthetic, VHS quality with grainy texture. Post-Soviet style with tracksuit gopnik vibe and nostalgic faded colors. Character: Use the character from the provided photo as the base. Preserve recognizable facial features, proportions, and overall likeness. Concept: Express a typical post-Soviet vibe. Composition: Character occupies maximum canvas area, bold white border around the character (approx 25% outline width), smooth and uniform border. Visual design: Grainy texture, faded and slightly desaturated colors, typical 90s tracksuit design with stripes. Requirements: black background, no watermark, no logo, no frame, no text. Quality: Expressive, visually appealing, optimized for messenger sticker.",stickers/80087b5b-723f-4be0-b60e-46bda8f291bd/bbf6c4cd-da1e-482e-8b95-7ca31972d089/1770659875648.webp,,2026-02-09 17:58:00.702346+00,CAACAgIAAxkDAAIwC2mKICh4Q0bGKh2Rz16CFQABqFsUcQACwJUAAj3vWEjt8OEP-OdCPzoE,false,ru_90s,prod,
024524cb-818e-4d7d-a5f4-c73328232d71,e73e1939-1a9d-4059-bf80-8504de026229,5aa46c99-5470-439f-9e0d-600a96b61c27,AgACAgIAAxkBAAIfKGmHokC_lFprAAGTXFLgX4Wj9f8SVwAC1g1rG2sIQEh423LtLXl4XAEAAwIAA3kAAzoE,"Passionate romantic style, intense loving gaze, dramatic lighting, deep red and warm tones",Add cool expression to this sticker character,stickers/e73e1939-1a9d-4059-bf80-8504de026229/5aa46c99-5470-439f-9e0d-600a96b61c27/1770496686381.webp,,2026-02-07 20:38:06.497756+00,CAACAgIAAxkDAAIfNmmHoq4MbnVkXX3wd9bWeOID8zv0AAJljQACphBBSL26bNWM0YLzOgQ,false,love_passion,prod,
02a528e4-c890-461a-9484-39b2669c43d2,3d1b8465-dae3-4751-b167-f8d7a8382b09,89a5ed4a-510a-4985-b0a1-fc4e4ddf9383,AgACAgIAAxkBAAI0_WmMF1rgvhPkWfqFPRqQgqefsUn3AALqEWsbhGVhSHFQgG28TZy6AQADAgADeQADOgQ,"Love Is comic strip style, simple cute couple, minimal lines, sweet romantic, Kim Casali inspired, heart-shaped elements","Create a high-quality messenger sticker. Style: ""Love Is..."" comic strip style, featuring simple, cute couple illustrations with minimal lines, reminiscent of Kim Casali's work. Character: Isolate the main subject from the provided photo. Preserve recognizable facial features, proportions, and overall likeness. Adapt proportions to match the ""Love Is..."" style while keeping facial identity. Concept: A sweet, romantic depiction of the couple with heart-shaped elements subtly incorporated. Composition: The characters should occupy maximum canvas area with clear silhouettes. The composition should feel intimate and affectionate. Outline: Soft edges with minimal outlines, true to the ""Love Is..."" style. Visual design: Use a limited color palette consisting of pastel colors. The shading should be minimal, focusing on soft gradients to create a gentle, romantic atmosphere. Background: Solid, light pink background to complement the romantic theme and ensure easy background removal. Requirements: No watermark, no logo, no frame, and no text unless it's a quote directly inspired by the ""Love Is..."" comics. Quality: The sticker should be expressive, visually appealing, and optimized for clean background removal and messenger sticker use.",stickers/3d1b8465-dae3-4751-b167-f8d7a8382b09/89a5ed4a-510a-4985-b0a1-fc4e4ddf9383/1770788765393.webp,,2026-02-11 05:46:05.50904+00,CAACAgIAAxkDAAI1B2mMF52Pbkjv_mcaH5Jf8XYbWzn8AAK5jAAChGVhSMnovtxA01zQOgQ,false,ru_love_is,prod,
02c7a7ae-4327-4aad-b15a-dcb1113a0c6d,b9956039-6f8f-4d06-9406-9c3f8cd7ed21,69e791bb-0fff-4f8d-8f36-c30050657858,AgACAgIAAxkBAAIN12mFgYYKQk--IRcDaE4TLhemTVmzAAJcEWsbr64pSJkS2jG1oUy9AQADAgADeQADOAQ,"anime style, clean lines, expressive eyes, detailed hair","Add angry, frowning, irritated expression expression to this sticker character",stickers/b9956039-6f8f-4d06-9406-9c3f8cd7ed21/69e791bb-0fff-4f8d-8f36-c30050657858/1770357210416.webp,,2026-02-06 05:53:30.433896+00,CAACAgIAAxkDAAIOBmmFgdqMP9r_FC7-guZHgTyrlZrbAALRmwACr64pSGLCD0UAAQ4yTjgE,false,anime,prod,
02d21a16-74c9-4ffd-8560-44c328518608,0a08ae47-fea2-40bf-ae53-915ec817d30d,00b6bcdb-86cf-4651-aace-e88d8c575507,AgACAgIAAxkBAAINA2mFcsk2Rm-Y-yytdU2DkhiwHsLcAAITDGsbXOkxSLoplCFWb-17AQADAgADeAADOAQ,"chibi style, big head, tiny body, adorable proportions","Create a high-quality messenger sticker. Style: Chibi style with a large head, tiny body, and exaggerated adorable proportions. Character: Use the character from the provided photo as the base. Preserve recognizable facial features, and overall likeness. Adapt the body to chibi proportions. Concept: Adorable and cheerful. Composition: Character occupies maximum canvas area, bold white border around the character (approx 25% outline width), smooth and uniform border. Visual design: Clean bold sticker outline, high contrast, simplified shapes, bright and cheerful colors, cute details. Requirements: black background, no watermark, no logo, no frame, no text. Quality: Expressive, visually appealing, optimized for messenger sticker.",stickers/0a08ae47-fea2-40bf-ae53-915ec817d30d/00b6bcdb-86cf-4651-aace-e88d8c575507/1770353763221.webp,,2026-02-06 04:56:05.947752+00,CAACAgIAAxkDAAINGWmFdGbLKNGQMDa5XZkNt39BOo0cAALGigACXOkxSI0y9wc-M-GiOAQ,true,chibi,prod,
035413ec-2ef2-47b2-b3c0-a8d6443938fc,2fe14a3c-47ed-4073-b637-a658faddaeae,9dd82e65-3679-465d-9630-b14749afcc57,AgACAgIAAxkBAAIIBmmEjQZ3e0P5JnHL1i5WpNkCQFwaAAJjDGsbso0oSBAg7EKfUySXAQADAgADeQADOAQ,"American cartoon style, bold black outlines, flat bright colors, exaggerated proportions, expressive","Create a high-quality messenger sticker. Style: American cartoon style, bold black outlines, flat bright colors, exaggerated proportions. Character: ISOLATE and extract ONLY the main subject from the provided photo. Ignore all background elements, furniture, surroundings. Preserve recognizable facial features, proportions, and overall likeness. Adapt proportions to match the style while keeping facial identity. Concept: expressive pose and facial expression. Composition: Character occupies maximum canvas area with clear silhouette. Outline: Bold black outline. Visual design: Flat bright colors with minimal shading. Background: Solid contrasting color that makes background removal easy. Choose color that contrasts well with the character (e.g., bright green, solid gray, or color that differs from character's palette). Requirements: No watermark, no logo, no frame, no text unless explicitly requested by user. Quality: Expressive, visually appealing, optimized for clean background removal and messenger sticker use.",stickers/2fe14a3c-47ed-4073-b637-a658faddaeae/9dd82e65-3679-465d-9630-b14749afcc57/1770407641898.webp,,2026-02-06 19:54:02.019765+00,CAACAgIAAxkDAAIVqGmGRtpDHlg6mml6fB4V7_0MW1xzAAJ_jAACxj4wSIszEsmkqNtKOAQ,true,cartoon_american,prod,
